Paper Title,Year,Author,Publication,Url of paper,Source url
Classification of behaviour in housed dairy cows using an accelerometer-based activity monitoring system,2015,JA Vázquez Diosdado  ZE Barker… - Animal …,animalbiotelemetry.biomedcentral …,https://animalbiotelemetry.biomedcentral.com/articles/10.1186/s40317-015-0045-8,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Love thy neighbour: automatic animal behavioural classification of acceleration data using the k-nearest neighbour algorithm,2014,OR Bidder  HA Campbell,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0088609,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Analysis of animal accelerometer data using hidden Markov models,2017,V Leos‐Barajas  T Photopoulou… - Methods in Ecology …,Wiley Online Library,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210X.12657,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
An iot-based design using accelerometers in animal behavior recognition systems,2021,DN Tran  TN Nguyen,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9319861/,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
A novel biomechanical approach for animal behaviour recognition using accelerometers,2019,P Chakravarty  G Cozzi,Wiley Online Library,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210x.13172,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Tri-axial accelerometers quantify behaviour in the Eurasian badger (Meles meles): towards an automated interpretation of field data,2014,DW McClune  NJ Marks… - Animal …,animalbiotelemetry.biomedcentral …,https://animalbiotelemetry.biomedcentral.com/articles/10.1186/2050-3385-2-5,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Using a three-axis accelerometer to identify and classify sheep behaviour at pasture,2016,FAP Alvarenga  I Borges,Elsevier,https://www.sciencedirect.com/science/article/pii/S0168159116301733,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
High accuracy at low frequency: detailed behavioural classification from accelerometer data,2018,J Tatler  P Cassey,journals.biologists.com,https://journals.biologists.com/jeb/article-abstract/221/23/jeb184085/20503,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Classification of broiler behaviours using triaxial accelerometer and machine learning,2021,X Yang  Y Zhao,Elsevier,https://www.sciencedirect.com/science/article/pii/S1751731121001117,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Animal behavior classification via deep learning on embedded systems,2023,R Arablouei  L Wang,Elsevier,https://www.sciencedirect.com/science/article/pii/S0168169923000959,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Classification of behaviour in housed dairy cows using an accelerometer-based activity monitoring system,2015,JA Vázquez Diosdado  ZE Barker… - Animal …,animalbiotelemetry.biomedcentral …,https://animalbiotelemetry.biomedcentral.com/articles/10.1186/s40317-015-0045-8,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Love thy neighbour: automatic animal behavioural classification of acceleration data using the k-nearest neighbour algorithm,2014,OR Bidder  HA Campbell,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0088609,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Analysis of animal accelerometer data using hidden Markov models,2017,V Leos‐Barajas  T Photopoulou… - Methods in Ecology …,Wiley Online Library,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210X.12657,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
An iot-based design using accelerometers in animal behavior recognition systems,2021,DN Tran  TN Nguyen,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9319861/,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
A novel biomechanical approach for animal behaviour recognition using accelerometers,2019,P Chakravarty  G Cozzi,Wiley Online Library,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210x.13172,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Tri-axial accelerometers quantify behaviour in the Eurasian badger (Meles meles): towards an automated interpretation of field data,2014,DW McClune  NJ Marks… - Animal …,animalbiotelemetry.biomedcentral …,https://animalbiotelemetry.biomedcentral.com/articles/10.1186/2050-3385-2-5,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Using a three-axis accelerometer to identify and classify sheep behaviour at pasture,2016,FAP Alvarenga  I Borges,Elsevier,https://www.sciencedirect.com/science/article/pii/S0168159116301733,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
High accuracy at low frequency: detailed behavioural classification from accelerometer data,2018,J Tatler  P Cassey,journals.biologists.com,https://journals.biologists.com/jeb/article-abstract/221/23/jeb184085/20503,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Classification of broiler behaviours using triaxial accelerometer and machine learning,2021,X Yang  Y Zhao,Elsevier,https://www.sciencedirect.com/science/article/pii/S1751731121001117,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Animal behavior classification via deep learning on embedded systems,2023,R Arablouei  L Wang,Elsevier,https://www.sciencedirect.com/science/article/pii/S0168169923000959,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Classification of behaviour in housed dairy cows using an accelerometer-based activity monitoring system,2015,JA Vázquez Diosdado  ZE Barker… - Animal …,animalbiotelemetry.biomedcentral …,https://animalbiotelemetry.biomedcentral.com/articles/10.1186/s40317-015-0045-8,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Love thy neighbour: automatic animal behavioural classification of acceleration data using the k-nearest neighbour algorithm,2014,OR Bidder  HA Campbell,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0088609,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Analysis of animal accelerometer data using hidden Markov models,2017,V Leos‐Barajas  T Photopoulou… - Methods in Ecology …,Wiley Online Library,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210X.12657,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
An iot-based design using accelerometers in animal behavior recognition systems,2021,DN Tran  TN Nguyen,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9319861/,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
A novel biomechanical approach for animal behaviour recognition using accelerometers,2019,P Chakravarty  G Cozzi,Wiley Online Library,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210x.13172,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Tri-axial accelerometers quantify behaviour in the Eurasian badger (Meles meles): towards an automated interpretation of field data,2014,DW McClune  NJ Marks… - Animal …,animalbiotelemetry.biomedcentral …,https://animalbiotelemetry.biomedcentral.com/articles/10.1186/2050-3385-2-5,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Using a three-axis accelerometer to identify and classify sheep behaviour at pasture,2016,FAP Alvarenga  I Borges,Elsevier,https://www.sciencedirect.com/science/article/pii/S0168159116301733,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
High accuracy at low frequency: detailed behavioural classification from accelerometer data,2018,J Tatler  P Cassey,journals.biologists.com,https://journals.biologists.com/jeb/article-abstract/221/23/jeb184085/20503,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Classification of broiler behaviours using triaxial accelerometer and machine learning,2021,X Yang  Y Zhao,Elsevier,https://www.sciencedirect.com/science/article/pii/S1751731121001117,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Animal behavior classification via deep learning on embedded systems,2023,R Arablouei  L Wang,Elsevier,https://www.sciencedirect.com/science/article/pii/S0168169923000959,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
